Stock_Symbol,Sector,Date,Open_Price,Close_Price,High_Price,Low_Price,Volume,Sentiment_Score,Sentiment_Label,Institutional_Buy_pct,Retail_Buy_pct,Foreign_Buy_pct,Volatility_pct,Daily_Return_pct
TCS,IT,2023-01-01,1211.59,1194.37,1216.3,1180.46,873482,-0.263,Negative,15.15,6.17,54.42,2.958,-1.421
TCS,IT,2023-01-02,1214.05,1197.26,1225.35,1188.36,365657,0.546,Positive,39.04,42.85,1.91,3.047,-1.383
TCS,IT,2023-01-03,1181.21,1189.54,1203.41,1167.54,286583,0.518,Positive,26.45,6.28,52.17,3.037,0.705
TCS,IT,2023-01-04,1225.24,1209.07,1234.08,1202.63,233259,0.468,Positive,52.57,65.15,28.21,2.567,-1.32
TCS,IT,2023-01-05,1238.44,1233.6,1253.36,1229.37,1636207,-0.651,Negative,50.3,23.3,67.78,1.937,-0.391
TCS,IT,2023-01-06,1229.67,1220.37,1240.41,1212.78,364172,0.526,Positive,14.87,61.61,6.07,2.247,-0.756
TCS,IT,2023-01-07,1189.44,1171.81,1201.88,1169.27,1356711,0.409,Positive,26.13,36.47,67.03,2.742,-1.482
TCS,IT,2023-01-08,1222.71,1235.12,1245.91,1211.02,489141,0.75,Positive,44.45,60.38,48.16,2.853,1.015
TCS,IT,2023-01-09,1200.15,1201.74,1207.09,1187.97,1697994,0.142,Neutral,37.82,0.53,64.47,1.593,0.132
TCS,IT,2023-01-10,1197.22,1197.67,1206.56,1182.57,1396631,-0.173,Neutral,25.14,13.45,69.9,2.004,0.038
TCS,IT,2023-01-11,1202.23,1210.08,1219.21,1194.15,1798035,0.908,Positive,42.95,57.51,7.1,2.084,0.653
TCS,IT,2023-01-12,1200.14,1206.14,1215.48,1194.02,326028,-0.962,Negative,34.8,25.49,21.21,1.788,0.5
TCS,IT,2023-01-13,1236.45,1234.96,1248.03,1233.4,942715,0.339,Positive,18.96,38.9,4.85,1.183,-0.121
TCS,IT,2023-01-14,1223.86,1244.16,1246.01,1218.72,256625,-0.557,Negative,43.98,39.56,36.86,2.23,1.659
TCS,IT,2023-01-15,1199.73,1215.79,1222.81,1184.92,636910,0.303,Positive,29.66,27.58,32.75,3.158,1.339
TCS,IT,2023-01-16,1206.99,1182.05,1216.92,1178.26,796781,0.474,Positive,19.48,58.51,48.17,3.203,-2.066
TCS,IT,2023-01-17,1214.9,1210.63,1216.33,1200.95,1100763,-0.911,Negative,18.03,22.58,36.75,1.266,-0.351
TCS,IT,2023-01-18,1214.49,1190.73,1226.67,1176.15,1633568,-0.091,Neutral,40.48,51.08,16.96,4.16,-1.956
TCS,IT,2023-01-19,1208.44,1186.2,1218.64,1176.34,1773459,0.343,Positive,19.15,18.04,29.13,3.5,-1.84
TCS,IT,2023-01-20,1223.58,1214.18,1225.27,1205.09,1263259,-0.717,Negative,40.58,53.63,27.58,1.649,-0.768
TCS,IT,2023-01-21,1209.47,1233.21,1242.02,1205.0,354600,0.228,Positive,34.01,39.38,12.56,3.061,1.963
TCS,IT,2023-01-22,1208.77,1201.78,1216.48,1199.41,604269,-0.321,Negative,36.34,35.14,54.05,1.412,-0.578
TCS,IT,2023-01-23,1197.81,1214.81,1218.89,1193.91,1011097,-0.74,Negative,48.66,20.05,56.52,2.085,1.419
TCS,IT,2023-01-24,1209.45,1212.73,1212.78,1198.99,1912055,0.43,Positive,55.82,54.76,21.59,1.14,0.271
TCS,IT,2023-01-25,1224.75,1233.16,1240.08,1217.01,166736,0.664,Positive,1.28,8.17,43.35,1.884,0.687
TCS,IT,2023-01-26,1221.83,1219.18,1225.88,1219.16,880617,-0.1,Neutral,37.08,39.09,24.62,0.55,-0.217
TCS,IT,2023-01-27,1203.33,1226.84,1227.1,1200.9,858892,-0.208,Negative,40.42,23.16,30.71,2.177,1.954
TCS,IT,2023-01-28,1181.71,1171.52,1187.87,1166.53,302752,-0.062,Neutral,29.13,25.71,11.52,1.806,-0.862
TCS,IT,2023-01-29,1208.41,1211.04,1215.48,1197.47,1005487,0.866,Positive,29.09,61.81,1.82,1.49,0.218
TCS,IT,2023-01-30,1234.12,1220.12,1239.72,1210.99,787420,0.94,Positive,65.24,24.54,20.06,2.328,-1.134
TCS,IT,2023-01-31,1210.97,1232.61,1232.9,1204.84,257466,0.4,Positive,19.02,19.9,0.48,2.317,1.787
TCS,IT,2023-02-01,1213.0,1223.45,1237.39,1207.99,845236,0.01,Neutral,59.26,41.64,65.19,2.424,0.862
TCS,IT,2023-02-02,1205.52,1224.62,1236.36,1194.39,1813394,-0.547,Negative,33.99,69.06,6.94,3.481,1.584
TCS,IT,2023-02-03,1240.44,1249.92,1254.24,1229.23,890908,0.383,Positive,50.69,39.23,63.24,2.016,0.764
TCS,IT,2023-02-04,1212.73,1215.51,1217.74,1205.38,977334,-0.805,Negative,35.15,65.32,5.81,1.019,0.229
TCS,IT,2023-02-05,1188.8,1183.79,1201.85,1177.46,632829,0.368,Positive,20.57,22.48,67.3,2.052,-0.421
TCS,IT,2023-02-06,1206.35,1182.16,1208.8,1171.26,1314949,0.686,Positive,68.97,25.62,27.89,3.112,-2.005
TCS,IT,2023-02-07,1201.15,1204.59,1210.93,1195.03,1833650,-0.251,Negative,42.6,44.49,38.07,1.324,0.286
TCS,IT,2023-02-08,1228.95,1222.1,1241.84,1210.32,1796929,-0.535,Negative,9.53,36.53,62.72,2.565,-0.557
TCS,IT,2023-02-09,1185.5,1168.6,1193.39,1163.67,813340,-0.94,Negative,67.59,11.57,49.94,2.507,-1.426
TCS,IT,2023-02-10,1222.8,1237.42,1240.88,1209.62,1829497,0.836,Positive,38.14,11.05,47.45,2.556,1.196
TCS,IT,2023-02-11,1240.4,1265.15,1266.22,1231.34,604565,0.718,Positive,12.12,12.05,41.92,2.812,1.995
TCS,IT,2023-02-12,1205.83,1219.27,1223.86,1201.44,1059527,0.936,Positive,63.76,30.01,18.14,1.859,1.115
TCS,IT,2023-02-13,1230.57,1249.22,1258.64,1215.59,1574541,-0.34,Negative,47.03,19.57,49.69,3.498,1.516
TCS,IT,2023-02-14,1217.27,1221.54,1224.84,1206.26,1694060,-0.388,Negative,18.1,0.84,15.84,1.526,0.351
TCS,IT,2023-02-15,1204.0,1203.78,1205.99,1202.71,1188895,-0.902,Negative,8.03,65.4,19.88,0.272,-0.018
TCS,IT,2023-02-16,1222.99,1211.84,1231.2,1209.88,1966452,-0.834,Negative,9.12,20.21,27.73,1.743,-0.912
TCS,IT,2023-02-17,1227.68,1227.38,1239.85,1214.36,1439087,0.806,Positive,64.29,0.71,38.76,2.076,-0.024
TCS,IT,2023-02-18,1233.09,1232.38,1234.13,1229.79,1255076,-0.75,Negative,44.75,66.54,62.95,0.352,-0.058
TCS,IT,2023-02-19,1188.61,1203.59,1206.62,1182.62,183277,0.821,Positive,34.02,17.94,56.88,2.019,1.26
TCS,IT,2023-02-20,1185.12,1187.41,1192.85,1172.09,1825833,-0.942,Negative,32.51,40.79,56.55,1.752,0.193
TCS,IT,2023-02-21,1234.64,1241.36,1250.9,1225.62,1137974,-0.417,Negative,49.85,0.51,11.64,2.048,0.544
TCS,IT,2023-02-22,1239.59,1259.85,1259.87,1226.38,724230,0.756,Positive,63.23,27.04,29.38,2.702,1.634
TCS,IT,2023-02-23,1220.89,1220.42,1228.77,1216.86,952912,0.452,Positive,3.09,29.1,49.37,0.976,-0.038
TCS,IT,2023-02-24,1214.11,1231.42,1242.68,1212.5,1324294,-0.744,Negative,48.61,49.13,40.14,2.486,1.426
TCS,IT,2023-02-25,1222.44,1245.92,1246.22,1213.27,1152265,-0.829,Negative,22.22,59.57,62.28,2.695,1.921
TCS,IT,2023-02-26,1194.89,1190.89,1206.35,1185.4,1146955,0.905,Positive,26.65,35.33,1.79,1.753,-0.335
TCS,IT,2023-02-27,1216.67,1197.38,1223.7,1190.0,130109,0.282,Positive,19.47,57.09,41.01,2.77,-1.585
TCS,IT,2023-02-28,1214.13,1235.42,1249.32,1208.3,1931521,0.519,Positive,46.38,15.91,57.81,3.379,1.754
TCS,IT,2023-03-01,1208.56,1185.36,1218.66,1172.37,1623009,-0.33,Negative,26.02,42.98,44.34,3.83,-1.92
TCS,IT,2023-03-02,1185.25,1167.56,1191.26,1163.62,467346,-0.652,Negative,53.86,69.79,64.99,2.332,-1.493
TCS,IT,2023-03-03,1181.2,1195.05,1195.45,1170.72,975440,-0.062,Neutral,67.75,30.99,33.6,2.094,1.173
TCS,IT,2023-03-04,1195.52,1176.39,1210.0,1171.64,1489007,-0.836,Negative,20.06,25.0,11.22,3.209,-1.6
